epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1244,1.1836,4.9497,1.03435,0,0,0,0,1.07152,4.61253,0.96752,0,0,0
2,13.5397,1.01751,4.85823,0.9904,0,0,0,0,1.07078,4.59541,0.95908,9.901e-06,9.901e-06,9.901e-06
3,19.5451,1.01749,4.69148,0.99425,0,0,0,0,1.05909,4.54267,0.9295,1.9604e-05,1.9604e-05,1.9604e-05
4,25.9101,0.93988,4.74228,1.0114,0,0,0,0,0.97431,4.51338,0.89052,2.9109e-05,2.9109e-05,2.9109e-05
5,31.45,1.00428,4.7072,0.96203,0,0,0,0,0.973,4.49318,0.86675,3.8416e-05,3.8416e-05,3.8416e-05
6,37.0764,0.90259,4.58511,0.91563,0,0,0,0,0.99603,4.45361,0.85365,4.7525e-05,4.7525e-05,4.7525e-05
7,42.7191,0.81107,4.60403,0.94647,0,0,0,0,1.02092,4.44543,0.84364,5.6436e-05,5.6436e-05,5.6436e-05
8,48.3918,0.78168,4.39412,0.91299,0,0,0,0,0.99742,4.40955,0.82359,6.5149e-05,6.5149e-05,6.5149e-05
9,54.0584,0.69012,4.30885,0.88386,0,0,0,0,0.94184,4.39514,0.80986,7.3664e-05,7.3664e-05,7.3664e-05
10,59.7194,0.86205,4.3381,0.88533,0,0,0,0,0.87982,4.42177,0.7957,8.1981e-05,8.1981e-05,8.1981e-05
11,65.4054,0.76304,4.34728,0.87859,0,0,0,0,0.79148,4.37455,0.78694,9.01e-05,9.01e-05,9.01e-05
12,71.0648,0.66745,4.13202,0.86319,0,0,0,0,0.8187,4.29584,0.78427,9.8021e-05,9.8021e-05,9.8021e-05
13,76.8209,0.77487,3.99826,0.80691,0.00241,0.33333,0.00636,0.00211,0.7864,4.30461,0.78387,0.000105744,0.000105744,0.000105744
14,82.4437,0.62389,3.8193,0.8385,0.01728,0.66667,0.11377,0.07565,0.8178,4.29901,0.79838,0.000113269,0.000113269,0.000113269
15,88.1218,0.65071,3.93039,0.94146,0.02364,0.83333,0.38781,0.24444,0.81234,4.31087,0.80389,0.000120596,0.000120596,0.000120596
