epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4145,5.5138,10.073,4.27526,0,0,0,0,5.39507,7.38391,4.1586,0,0,0
2,35.4337,5.49653,8.43587,4.2825,0,0,0,0,5.39495,7.38234,4.15831,1.22525e-05,1.22525e-05,1.22525e-05
3,50.3306,4.77711,9.05111,4.31369,0,0,0,0,5.39482,7.38104,4.15801,2.401e-05,2.401e-05,2.401e-05
4,64.2795,4.71569,8.16023,4.22856,0,0,0,0,5.39471,7.38043,4.15773,3.52725e-05,3.52725e-05,3.52725e-05
5,82.9731,4.30477,8.36138,4.248,0,0,0,0,5.3946,7.37977,4.15748,4.604e-05,4.604e-05,4.604e-05
6,104.089,5.61813,9.90066,4.25495,0,0,0,0,5.39451,7.3792,4.15726,5.63125e-05,5.63125e-05,5.63125e-05
7,118.693,4.6409,9.06825,4.27029,0,0,0,0,5.39445,7.37943,4.15708,6.609e-05,6.609e-05,6.609e-05
8,131.766,3.95455,7.56722,4.21699,0,0,0,0,5.39443,7.37911,4.15696,7.53725e-05,7.53725e-05,7.53725e-05
9,144.914,5.09787,7.89273,4.19484,0,0,0,0,5.39445,7.37805,4.15672,8.416e-05,8.416e-05,8.416e-05
10,158.03,5.15864,10.1383,4.16648,0,0,0,0,5.39451,7.37788,4.1567,9.24525e-05,9.24525e-05,9.24525e-05
11,170.861,4.79975,7.40637,4.11908,0,0,0,0,5.39463,7.37788,4.15676,0.00010025,0.00010025,0.00010025
12,183.547,4.894,8.92069,4.04262,0,0,0,0,5.39483,7.37814,4.15689,0.000107553,0.000107553,0.000107553
13,196.695,4.93398,8.96596,4.15507,0,0,0,0,5.39512,7.37846,4.15711,0.00011436,0.00011436,0.00011436
14,209.378,4.50089,8.22171,4.11267,0,0,0,0,5.3955,7.37894,4.15746,0.000120672,0.000120672,0.000120672
15,222.182,3.99393,7.97773,4.06091,0,0,0,0,5.39596,7.37974,4.15787,0.00012649,0.00012649,0.00012649
16,235.443,4.6085,8.12464,4.06312,0,0,0,0,5.39651,7.38322,4.15839,0.000131813,0.000131813,0.000131813
17,247.339,4.81226,9.71752,4.06682,0,0,0,0,5.39715,7.38404,4.15897,0.00013664,0.00013664,0.00013664
18,259.018,4.97608,9.53313,3.96025,0,0,0,0,5.39715,7.38404,4.15897,0.000140972,0.000140972,0.000140972
19,270.849,5.33783,9.03893,3.95098,0,0,0,0,5.3984,7.38705,4.16007,0.00014481,0.00014481,0.00014481
20,282.517,4.58483,8.49649,3.93733,0,0,0,0,5.3984,7.38705,4.16007,0.000148153,0.000148153,0.000148153
21,294.1,5.30469,9.35557,3.87643,0,0,0,0,5.39997,7.38982,4.16138,0.000151,0.000151,0.000151
22,305.731,4.37435,8.56124,3.87895,0,0,0,0,5.39997,7.38982,4.16138,0.000153353,0.000153353,0.000153353
23,317.355,4.10309,8.01069,3.8925,0,0,0,0,5.40182,7.39025,4.16293,0.00015521,0.00015521,0.00015521
24,328.97,4.19369,8.85174,3.8826,0,0,0,0,5.40182,7.39025,4.16293,0.000156573,0.000156573,0.000156573
25,340.535,4.56895,8.47456,3.85894,0,0,0,0,5.40404,7.39481,4.16474,0.00015744,0.00015744,0.00015744
26,352.172,5.19467,9.87062,3.79584,0,0,0,0,5.40404,7.39481,4.16474,0.000157812,0.000157812,0.000157812
27,363.969,5.20049,9.69315,3.82837,0,0,0,0,5.40648,7.39536,4.16726,0.00015769,0.00015769,0.00015769
28,375.923,4.05266,8.55851,3.62757,0,0,0,0,5.40648,7.39536,4.16726,0.000157072,0.000157072,0.000157072
29,388.041,4.49512,7.65956,3.76671,0,0,0,0,5.40925,7.3972,4.16953,0.00015596,0.00015596,0.00015596
30,400.016,3.86484,7.06306,3.89516,0,0,0,0,5.40925,7.3972,4.16953,0.000154352,0.000154352,0.000154352
31,411.732,4.28463,7.9608,3.69028,0,0,0,0,5.41221,7.4021,4.17193,0.00015225,0.00015225,0.00015225
32,423.372,3.87918,7.51634,3.8622,0,0,0,0,5.41221,7.4021,4.17193,0.000149652,0.000149652,0.000149652
33,434.989,4.11681,8.19746,3.70118,0,0,0,0,5.41534,7.40737,4.17445,0.00014656,0.00014656,0.00014656
34,446.625,4.90394,9.55954,3.80151,0,0,0,0,5.41534,7.40737,4.17445,0.000142972,0.000142972,0.000142972
35,459.015,3.06098,7.22359,3.83434,0,0,0,0,5.41854,7.40612,4.17707,0.00013889,0.00013889,0.00013889
36,470.582,3.83692,8.12465,3.75228,0,0,0,0,5.41854,7.40612,4.17707,0.000134313,0.000134313,0.000134313
37,482.123,4.31521,7.2696,3.65048,0,0,0,0,5.42189,7.41146,4.17985,0.00012924,0.00012924,0.00012924
38,493.727,4.00862,7.42434,3.82932,0,0,0,0,5.42189,7.41146,4.17985,0.000123672,0.000123672,0.000123672
39,505.397,3.11268,6.9715,3.61069,0,0,0,0,5.42545,7.41723,4.18279,0.00011761,0.00011761,0.00011761
40,517.952,3.71526,6.87469,3.71099,0,0,0,0,5.42545,7.41723,4.18279,0.000111052,0.000111052,0.000111052
41,530.584,3.27497,9.59957,4.11138,0,0,0,0,5.42869,7.41903,4.18553,0.000104,0.000104,0.000104
42,543.351,3.71268,11.9347,3.92965,0,0,0,0,5.42869,7.41903,4.18553,9.64525e-05,9.64525e-05,9.64525e-05
43,555.278,3.11355,10.4036,3.73807,0,0,0,0,5.43132,7.4235,4.18784,8.841e-05,8.841e-05,8.841e-05
44,566.902,3.33202,9.63234,3.8987,0,0,0,0,5.43132,7.4235,4.18784,7.98725e-05,7.98725e-05,7.98725e-05
45,578.615,3.83715,11.0897,3.88023,0,0,0,0,5.43386,7.4253,4.19008,7.084e-05,7.084e-05,7.084e-05
46,590.323,2.91518,9.69024,3.64829,0,0,0,0,5.43386,7.4253,4.19008,6.13125e-05,6.13125e-05,6.13125e-05
47,602.103,3.05025,8.65907,3.69755,0,0,0,0,5.4359,7.4275,4.19192,5.129e-05,5.129e-05,5.129e-05
48,613.661,3.03143,8.39968,4.01876,0,0,0,0,5.4359,7.4275,4.19192,4.07725e-05,4.07725e-05,4.07725e-05
49,625.348,3.49688,9.51231,3.68482,0,0,0,0,5.43786,7.42814,4.19377,2.976e-05,2.976e-05,2.976e-05
50,636.938,2.96199,9.20632,3.92023,0,0,0,0,5.43786,7.42814,4.19377,1.82525e-05,1.82525e-05,1.82525e-05
