epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.833,1.04435,4.73643,0.98077,0,0,0,0,0.70617,4.65742,0.84317,4.734e-05,4.734e-05,4.734e-05
2,171.921,0.74421,4.49281,0.87366,0,0,0,0,0.65842,4.65286,0.81957,9.79612e-05,9.79612e-05,9.79612e-05
3,253.029,0.63953,4.34919,0.84347,0.04598,0.06667,0.06576,0.05753,0.43076,4.59333,0.79895,0.000146499,0.000146499,0.000146499
4,332.233,0.61756,4.23444,0.82638,0.02186,0.06667,0.06469,0.05271,0.48432,4.58124,0.79458,0.000192955,0.000192955,0.000192955
5,411.175,0.54492,4.12752,0.80793,0.02933,0.07006,0.07093,0.05884,0.47525,4.54694,0.78916,0.000237327,0.000237327,0.000237327
6,493.18,0.56169,4.00134,0.80408,0.02634,0.09343,0.07366,0.06488,0.41417,4.41785,0.79063,0.000279616,0.000279616,0.000279616
7,574.735,0.51327,3.8183,0.80006,0.05693,0.22777,0.09783,0.08794,0.41616,4.29681,0.78748,0.000319823,0.000319823,0.000319823
8,656.923,0.49459,3.65101,0.80137,0.06481,0.44142,0.11351,0.10519,0.37239,4.15506,0.78452,0.000357946,0.000357946,0.000357946
9,735.913,0.49534,3.43771,0.80155,0.11357,0.63454,0.14855,0.13695,0.36309,3.90194,0.78419,0.000393987,0.000393987,0.000393987
10,815.989,0.47465,3.19431,0.80175,0.13138,0.70554,0.16248,0.15738,0.31005,3.5459,0.78469,0.000427944,0.000427944,0.000427944
11,894.674,0.44857,2.9933,0.80225,0.14494,0.75626,0.17205,0.16714,0.3371,3.32023,0.78934,0.000421852,0.000421852,0.000421852
12,972.843,0.42851,2.79364,0.79273,0.18924,0.80087,0.20794,0.20281,0.2983,3.03702,0.7874,0.000411437,0.000411437,0.000411437
13,1050.92,0.41192,2.61048,0.79837,0.1872,0.83332,0.22309,0.21861,0.27872,2.86424,0.78799,0.000401022,0.000401022,0.000401022
14,1130.69,0.40705,2.42481,0.79593,0.18687,0.89699,0.24783,0.24331,0.26987,2.50919,0.78858,0.000390608,0.000390608,0.000390608
15,1209.37,0.40971,2.28608,0.7889,0.18776,0.9297,0.26761,0.26301,0.27522,2.3832,0.78824,0.000380193,0.000380193,0.000380193
16,1288.27,0.3702,2.16252,0.79278,0.22423,0.69873,0.31284,0.30762,0.25958,2.02864,0.78433,0.000369778,0.000369778,0.000369778
17,1366.6,0.38077,2.04306,0.79408,0.25633,0.63267,0.33539,0.3315,0.26042,1.93246,0.78707,0.000359363,0.000359363,0.000359363
18,1445.33,0.37568,2.01337,0.79566,0.24738,0.70763,0.35655,0.35138,0.24758,1.86334,0.78184,0.000348948,0.000348948,0.000348948
19,1524.64,0.3504,1.9098,0.79166,0.24632,0.69815,0.37378,0.3694,0.24499,1.838,0.7811,0.000338534,0.000338534,0.000338534
20,1604.28,0.36873,1.85141,0.7907,0.29409,0.67762,0.39443,0.39095,0.23685,1.79368,0.7821,0.000328119,0.000328119,0.000328119
21,1683.94,0.36585,1.85505,0.78945,0.32252,0.65326,0.4116,0.40417,0.26917,1.73995,0.78319,0.000317704,0.000317704,0.000317704
